,index,AGGT,DIV,CIV,HIST,GEO,KISW,ENGL,PHY,CHEM,BIO,B/MATH,Course
384,7691,20,II,D,C,D,B,C,C,C,C,C,HKL
385,7692,24,III,D,D,D,C,C,F,C,C,D,RECORDS MANAGEMENT
386,7693,20,II,C,C,C,C,B,D,D,C,D,HGE
387,7694,16,I,C,B,C,B,B,C,B,C,C,PCM
388,7695,19,II,C,B,C,C,B,C,C,C,C,EGM
389,7697,14,I,C,B,C,B,B,C,A,B,B,EGM
390,7698,22,III,C,D,C,C,C,D,C,C,D,CERTIFICATE IN ACCOUNTING AND FINANCE
391,7699,9,I,B,A,B,B,B,B,A,A,A,PCM
392,7700,14,I,B,B,C,C,B,B,B,B,B,PCM
393,7701,21,II,C,D,D,C,B,D,D,C,C,STASHAHADA YA UALIMU ELIMU YA MSINGI (ENGLISH MEDIUM)
394,7702,10,I,B,A,B,A,A,B,B,B,A,PCM
395,7703,13,I,C,B,C,B,A,B,B,B,B,PCM
396,7704,19,II,C,C,D,B,B,D,C,C,C,HKL
397,7705,21,II,C,C,C,C,C,C,C,C,D,HKL
398,7706,20,II,C,D,C,B,C,C,C,C,C,CBG
399,7707,23,III,C,D,D,C,C,D,D,C,D,CERTIFICATE IN ACCOUNTING AND FINANCE
400,7708,22,III,C,D,C,C,C,D,C,C,D,CERTIFICATE IN ACCOUNTING AND FINANCE
401,7710,14,I,B,B,C,B,A,C,C,B,C,BIO-MEDICAL EQUIPMENT ENGINEERING
402,7711,17,I,B,C,C,B,B,C,B,C,C,PCB
403,7712,20,II,C,D,D,B,C,C,C,C,C,PCM
404,7713,11,I,B,C,B,A,B,C,A,B,A,PCM
405,7714,24,III,D,D,D,C,B,F,D,C,F,COMMUNITY DEVELOPMENT
406,7715,20,II,C,C,D,B,C,C,C,C,C,PCM
407,7716,20,II,C,C,D,C,B,C,C,C,C,HKL
408,7717,18,II,C,B,C,B,B,C,C,C,D,PCM
409,7718,18,II,C,C,C,B,A,C,C,C,C,PCM
410,7719,14,I,B,C,C,B,A,C,B,B,D,PCB
411,7720,18,II,C,C,D,B,A,D,C,C,C,PCM
412,7721,19,II,C,C,C,B,B,C,C,C,C,EGM
413,7723,11,I,B,C,C,A,A,C,B,A,C,PCB
414,7725,20,II,C,C,C,C,B,D,D,C,F,HGL
415,7726,16,I,C,C,C,B,A,C,B,B,C,PCB
416,7727,15,I,B,C,C,B,B,C,B,B,B,PGM
417,7728,9,I,B,B,C,A,A,A,A,A,B,PCB
418,7729,14,I,B,C,C,A,C,C,B,B,B,CLINICAL MEDICINE
419,7731,25,III,D,D,D,C,C,D,D,D,D,CIVIL ENGINEERING WITH COMMUNITY DEVELOPMENT
420,7733,24,III,C,D,D,C,C,D,D,C,D,CIVIL ENGINEERING WITH COMMUNITY DEVELOPMENT
421,7734,16,I,C,C,C,B,A,B,C,C,B,EGM
422,7735,17,I,C,B,C,B,A,C,C,C,C,PCB
423,7736,21,II,C,C,D,C,C,C,C,C,C,PCM
424,7737,20,II,C,C,C,C,B,C,C,C,D,CBG
425,7738,19,II,C,C,C,C,A,C,C,C,F,CBG
426,7739,15,I,B,C,C,A,B,C,B,B,C,PCB
427,7740,12,I,B,A,B,B,B,B,B,A,B,PCM
428,7741,22,III,C,C,D,C,C,D,C,C,D,CERTIFICATE IN ACCOUNTING AND FINANCE
429,7742,13,I,B,B,C,B,A,C,B,B,B,PCB
430,7743,20,II,C,C,C,B,C,D,C,C,D,CBG
431,7744,12,I,B,B,C,B,A,C,A,B,B,PCB
432,7745,17,I,C,B,C,B,B,C,C,C,C,PCM
433,7746,15,I,C,B,C,B,A,C,C,A,C,PCB
434,7834,9,I,A,A,B,A,A,C,B,A,C,PCB
435,7837,14,I,B,B,C,B,A,C,B,B,C,PCB
436,7840,24,III,B,D,D,C,C,F,D,D,F,LOCAL GOVERNMENT ADMINISTRATION
437,7844,17,I,B,C,C,C,A,F,C,B,D,SCIENCE AND LABORATORY TECHNOLOGY
438,7858,21,II,B,D,D,C,B,D,D,C,D,HKL
439,7860,17,I,B,B,C,C,B,D,C,C,D,NURSING AND MIDWIFERY
440,7869,20,II,C,D,D,B,B,D,D,C,C,HKL
441,7874,19,II,B,D,C,B,C,D,C,C,D,CBG
442,7878,18,II,B,D,C,B,B,D,C,C,F,CBG
443,7879,22,III,C,D,C,C,C,F,D,C,F,HGL
444,7880,24,III,C,D,F,C,C,D,D,C,F,MARKETING MANAGEMENT
445,7882,23,III,C,C,D,C,C,F,D,C,F,RURAL DEVELOPMENT PLANNING
446,7886,21,II,C,D,C,C,B,D,D,C,D,HGL
447,7896,21,II,C,C,C,B,C,D,D,C,D,HGE
448,7904,20,II,C,D,C,C,A,D,D,C,D,HGL
449,7905,21,II,B,D,C,C,B,F,F,C,F,HGL
450,7912,21,II,C,D,D,C,B,F,D,C,C,HKL
451,7913,22,III,C,D,D,C,B,D,D,C,D,HKL
452,7914,21,II,C,C,C,C,C,D,C,C,C,HGE
453,7916,18,II,B,D,C,B,B,F,D,C,F,HGE
454,7917,18,II,B,C,C,B,B,D,D,C,D,HGE
455,7919,18,II,B,C,C,A,C,D,C,C,C,EGM
456,7922,19,II,C,C,C,B,B,D,D,C,D,HGE
457,7924,18,II,B,C,C,B,B,D,C,C,D,CBG
458,7934,18,II,B,C,C,B,B,D,C,C,D,NURSING AND MIDWIFERY
459,7938,20,II,C,C,C,C,B,D,C,C,C,PCM
460,7944,25,III,C,D,D,C,C,D,D,D,D,SECRETARIAL STUDIES
461,7949,21,II,C,C,C,C,C,C,C,C,C,PCM
462,7955,24,III,C,D,D,C,C,D,D,C,F,PROCUREMENT AND LOGISTICS MANAGEMENT
463,7958,18,II,B,C,C,C,B,C,C,B,C,PCM
464,7959,21,II,C,C,C,C,C,D,C,C,F,HKL
465,7961,17,I,B,C,B,B,C,C,C,B,C,PCB
466,7962,23,III,C,C,D,C,C,D,D,C,D,RECORDS MANAGEMENT
467,7963,21,II,C,C,C,C,C,C,C,C,C,PCM
468,7969,24,III,C,C,D,D,C,D,D,C,D,ACCOUNTANCY
469,7988,22,III,C,C,D,C,C,D,D,C,F,HGL
470,7998,17,I,B,B,C,B,B,D,D,C,F,HGL
471,8000,12,I,A,B,B,B,A,B,C,B,C,PCM
472,8001,19,II,B,C,C,C,B,C,C,C,C,PCM
473,8005,19,II,B,C,C,C,C,C,C,B,C,PCM
474,8010,21,II,C,D,C,C,B,D,D,C,C,STASHAHADA YA UALIMU ELIMU YA MSINGI (ENGLISH MEDIUM)
475,8011,21,II,C,C,D,C,B,F,F,C,F,HKL
476,8013,23,III,C,C,D,C,C,F,D,C,D,ACCOUNTANCY
477,8033,19,II,C,D,C,C,A,D,D,C,C,EGM
478,8070,22,III,C,C,C,B,C,F,D,D,F,HGK
479,8075,24,III,C,D,D,C,C,D,D,D,F,PUBLIC ADMINISTRATION
480,8078,21,II,C,C,C,B,C,F,D,C,F,HKL
481,8080,18,II,C,B,C,A,C,D,C,C,F,HKL
482,8083,23,III,C,C,C,C,C,F,D,D,F,MARKETING AND PUBLIC RELATIONS
483,8177,22,III,C,C,C,C,C,F,D,C,F,HUMAN RESOURCE MANAGEMENT
484,8181,17,I,B,C,C,A,B,D,C,C,D,CBG
485,8185,20,II,C,C,C,A,C,F,D,C,F,HKL
486,8187,21,II,C,C,C,B,C,F,C,D,D,HGL
487,8188,21,II,C,C,C,B,C,F,D,C,F,HGK
488,8193,22,III,C,D,C,B,C,F,D,C,F,HKL
489,8194,22,III,C,C,C,B,C,F,D,D,F,HGK
490,8200,23,III,C,C,D,A,D,F,D,D,F,HKL
491,8204,19,II,C,B,C,B,C,F,C,C,F,CBG
492,8210,22,III,C,C,C,C,C,D,C,D,D,CERTIFICATE IN ACCOUNTING AND FINANCE
493,8215,19,II,C,C,C,B,C,D,C,B,C,CBG
494,8432,16,I,C,C,C,B,B,D,B,B,B,PCB
495,8433,22,III,C,C,D,C,C,F,C,C,D,HKL
496,8434,16,I,C,C,C,C,A,C,B,C,A,PCM
497,8435,18,II,C,C,C,B,B,D,C,B,C,PCB
498,8437,18,II,C,B,C,C,B,D,C,C,B,HGL
499,8438,10,I,B,B,B,A,C,C,A,A,A,PCB
500,8439,20,II,C,C,C,C,B,X,X,C,C,HGL
501,8441,17,I,C,C,C,B,C,C,C,A,D,PCB
502,8442,22,III,C,D,D,C,C,D,C,C,C,PCM
503,8444,17,I,C,C,C,B,B,D,C,B,C,PCB
504,8445,16,I,C,B,C,B,B,C,C,B,C,PCB
505,8447,18,II,C,B,C,A,C,D,C,C,C,HGE
506,8448,19,II,D,C,C,B,B,D,C,C,C,PCM
507,8449,19,II,C,C,C,B,B,D,C,C,D,NURSING AND MIDWIFERY
508,8450,14,I,C,B,C,C,B,D,B,B,A,PCB
509,8452,17,I,C,D,C,B,C,D,B,B,B,PCB
510,8453,20,II,C,C,D,B,C,C,C,C,C,PCB
511,8456,20,II,C,C,C,B,C,D,C,C,C,CBG
512,8457,20,II,C,C,C,C,C,D,C,C,D,CBG
513,8459,20,II,C,C,C,C,C,D,D,C,D,HGL
514,8460,10,I,C,B,C,A,A,C,A,B,A,PCB
515,8461,21,II,C,D,C,C,C,D,C,C,D,CBG
516,8462,17,I,C,C,C,B,B,D,B,B,C,PCB
517,8463,18,II,C,C,C,B,B,D,C,B,C,PGM
518,8512,24,III,C,D,D,C,C,F,D,C,F,COMMUNITY DEVELOPMENT
519,8519,24,III,C,D,C,C,D,D,D,C,D,ACCOUNTANCY
520,8528,23,III,C,C,D,C,C,D,D,C,D,PUBLIC ADMINISTRATION
521,8530,21,II,C,C,C,B,C,D,D,C,D,HKL
522,8531,22,III,C,C,C,B,C,D,D,D,D,HGK
523,8533,23,III,C,C,C,B,D,F,D,D,F,HGK
524,9450,21,II,C,C,C,A,C,F,F,C,F,HGL
525,9469,21,II,C,C,C,B,C,F,D,C,F,HGE
526,9477,18,II,C,C,C,A,B,D,C,C,C,CBG
527,9478,21,II,C,D,C,B,D,F,C,C,C,EGM
528,9482,20,II,C,B,C,C,C,D,C,C,C,CBG
529,9484,18,II,C,C,C,B,C,D,C,B,B,PCM
530,9488,23,III,C,C,C,C,C,D,D,D,F,ACCOUNTANCY
531,9496,24,III,C,D,D,C,C,F,D,C,D,PROCUREMENT AND LOGISTICS MANAGEMENT
532,9770,20,II,C,C,C,B,C,D,C,C,C,HGK
533,9773,19,II,C,C,C,A,C,D,C,C,C,CBG
534,9774,23,III,C,D,C,C,C,F,D,C,F,DEVELOPMENT ADMINISTRATION AND MANAGEMENT
535,9777,23,III,C,D,C,B,C,D,D,D,F,HGK
536,9778,25,III,C,D,C,C,D,D,D,D,F,ACCOUNTANCY
537,9779,23,III,C,D,C,B,D,D,D,C,F,HGK
538,9780,21,II,C,D,C,A,C,F,F,D,F,HKL
539,9784,16,I,B,C,C,A,B,D,C,B,D,HGK
540,9785,20,II,C,C,C,B,C,D,D,C,F,HGK
541,9786,24,III,C,D,C,C,C,F,F,D,F,MARKETING AND PUBLIC RELATIONS
542,9787,22,III,C,D,C,B,C,D,D,C,D,HGK
543,9788,23,III,C,D,C,B,C,F,F,D,D,HGK
544,9791,25,III,C,D,C,C,D,F,F,D,F,MARINE OPERATIONS
545,9792,24,III,C,D,C,C,C,F,F,D,F,COMMUNITY DEVELOPMENT
546,9793,20,II,C,D,C,B,C,F,C,C,D,HGK
547,9794,23,III,C,D,C,C,C,F,D,C,F,DEVELOPMENT ADMINISTRATION AND MANAGEMENT
548,9797,24,III,C,D,C,C,C,D,D,D,D,DEVELOPMENT ADMINISTRATION AND MANAGEMENT
549,9798,20,II,C,C,C,B,C,D,C,C,C,CBG
550,9801,19,II,C,C,C,A,C,F,C,C,C,CBG
551,9802,22,III,C,D,C,C,C,F,D,C,D,HGL
552,9804,24,III,C,D,C,C,C,D,D,D,D,BUSINESS MANAGEMENT
553,9805,22,III,C,D,C,C,C,F,D,C,F,HUMAN RESOURCE MANAGEMENT
554,9806,22,III,C,D,C,C,C,F,F,C,F,STASHAHADA YA UALIMU ELIMU YA AWALI
555,9808,24,III,C,D,D,D,C,F,D,C,F,PUBLIC ADMINISTRATION
556,9809,21,II,C,D,C,B,C,F,D,C,D,BANKING AND FINANCE
557,9810,18,II,C,D,C,A,C,D,C,B,D,CBG
558,9811,22,III,C,D,C,B,C,D,D,D,D,HUMAN RESOURCE MANAGEMENT
559,9812,20,II,C,C,C,B,C,F,F,C,F,HKL
560,9813,19,II,C,C,C,B,C,D,C,C,C,PCM
561,9815,21,II,C,D,C,C,C,D,C,C,C,STASHAHADA MAALUMU YA UALIMU WA MASOMO YA SAYANSI (KEMIA NA HISABATI)
562,9816,20,II,C,C,C,B,C,F,D,C,D,HKL
563,9818,23,III,C,D,C,C,C,D,D,D,D,COMMUNITY DEVELOPMENT
564,9820,14,I,B,B,C,A,B,D,C,B,D,CBG
565,9821,20,II,C,D,C,B,C,D,D,C,C,EGM
566,10042,23,III,D,C,D,C,C,D,C,C,F,HKL
567,10049,25,III,D,D,C,D,D,D,C,C,F,HUMAN RESOURCE MANAGEMENT
568,10052,25,III,D,D,D,C,C,D,D,C,F,COMMUNITY DEVELOPMENT
569,10053,24,III,D,D,D,C,C,D,C,C,F,COMMUNITY DEVELOPMENT
570,10054,21,II,C,C,C,C,C,C,C,C,F,HGK
571,10055,22,III,C,C,C,C,D,D,C,C,F,ACCOUNTANCY
572,10056,19,II,B,C,C,C,C,C,C,B,F,CBG
573,10057,24,III,C,C,D,D,C,D,D,C,F,COMMUNITY DEVELOPMENT
574,10058,23,III,D,C,C,C,D,D,C,C,F,HUMAN RESOURCE MANAGEMENT
575,10059,24,III,C,C,D,D,C,D,D,C,F,COMMUNITY DEVELOPMENT
576,10060,25,III,C,D,D,C,D,D,D,C,F,COMMUNITY DEVELOPMENT
577,10162,12,I,B,B,B,C,A,C,C,B,B,PCM
578,10163,13,I,C,A,C,B,B,C,C,B,A,PCB
579,10164,18,II,C,C,C,B,B,D,C,C,B,PGM
580,10166,18,II,C,C,C,B,A,F,C,C,C,EGM
581,10169,12,I,B,B,B,B,A,C,B,A,C,PCB
582,10174,13,I,B,C,B,B,B,C,B,A,B,PCB
583,10177,14,I,B,C,C,A,A,D,C,A,C,HGE
584,10179,20,II,C,C,C,C,B,C,C,C,C,HYDRO-GEOLOGY AND WATER-WELL DRILLING
585,10186,13,I,B,B,B,A,B,C,B,B,C,PCM
586,10187,15,I,C,C,B,B,B,C,C,B,B,EGM
587,10188,7,I,A,A,B,A,A,B,A,A,A,PCB
588,10189,22,III,C,C,C,C,C,D,D,C,D,BANKING AND FINANCE
589,10190,13,I,B,B,C,B,A,C,B,A,C,PCB
590,10192,25,III,C,D,D,D,C,F,D,D,D,LOCAL GOVERNMENT ADMINISTRATION
591,10193,15,I,B,C,C,B,A,D,C,B,C,PCB
592,10195,13,I,C,B,C,B,B,C,C,A,A,EGM
593,10196,12,I,B,B,B,B,A,C,C,A,C,PCB
594,10197,15,I,C,B,C,C,A,C,C,A,D,PCB
595,10199,12,I,C,B,C,B,A,C,B,A,A,EGM
596,10200,19,II,C,C,C,C,C,D,C,B,B,PCM
597,10202,19,II,C,C,C,C,B,D,C,B,C,CBG
598,10203,16,I,B,B,C,B,B,D,C,B,C,HGE
599,10206,24,III,C,C,D,D,D,F,D,C,D,BUSINESS ADMINISTRATION
600,10210,16,I,B,C,C,C,B,C,C,A,B,PGM
601,10214,20,II,C,D,C,C,B,F,D,C,C,EGM
602,10215,14,I,C,C,C,B,A,C,B,B,B,PGM
603,10217,15,I,B,C,C,C,B,C,B,B,A,PCM
604,10220,17,I,C,B,C,C,B,D,C,B,D,HGK
605,10222,9,I,B,B,A,B,A,C,B,A,A,PCB
606,10223,14,I,B,B,C,B,A,D,C,A,C,PCB
607,10225,10,I,A,B,B,B,A,C,C,A,A,PCM
608,10226,15,I,C,B,B,C,B,C,C,A,B,PGM
609,10228,14,I,C,B,C,B,B,C,B,A,B,PGM
610,10232,11,I,B,A,C,A,B,C,C,A,B,PGM
611,10238,22,III,C,D,C,D,C,F,F,C,F,ACCOUNTANCY
612,10240,14,I,C,B,B,B,B,C,C,A,C,PCM
613,10241,12,I,C,B,B,B,A,C,B,A,B,PCB
614,10242,22,III,C,C,D,C,B,D,D,C,D,HKL
615,10245,15,I,B,C,C,C,B,C,C,B,B,STASHAHADA MAALUMU YA UALIMU WA MASOMO YA SAYANSI (KEMIA NA BAIOLOJIA )
616,10248,23,III,D,D,C,C,C,D,C,C,F,PHYSIOTHERAPY
617,10255,14,I,C,B,C,A,B,D,B,B,B,PCB
618,10263,23,III,C,C,D,B,C,D,D,D,F,HGK
619,10273,24,III,D,C,C,B,D,F,D,D,F,HGK
620,10275,22,III,C,C,C,C,D,F,C,C,D,TAXATION
621,10282,21,II,C,C,C,C,C,D,C,C,D,HGK
622,10284,21,II,C,C,C,B,C,F,D,C,F,HKL
623,10286,23,III,C,C,C,C,D,F,D,C,F,RECORDS MANAGEMENT
624,10289,23,III,D,C,C,C,C,F,D,C,F,RECORDS MANAGEMENT
625,10296,24,III,D,C,C,C,D,F,D,C,D,MARKETING AND PUBLIC RELATIONS
626,10297,22,III,C,C,C,C,C,F,D,C,F,BUSINESS ADMINISTRATION
627,10300,20,II,C,C,C,B,C,D,C,C,D,HGE
628,10305,23,III,C,D,C,C,C,F,D,C,F,RURAL DEVELOPMENT PLANNING
629,10306,21,II,C,C,C,B,C,D,D,C,D,HKL
630,10308,23,III,D,D,C,B,D,F,D,C,C,HGK
631,10312,21,II,C,C,C,C,C,D,C,C,D,HGK
632,10314,21,II,C,C,C,C,C,D,C,C,C,HGK
633,10319,21,II,C,C,C,C,C,D,C,C,D,HKL
634,10321,20,II,C,C,C,B,D,F,C,B,F,HGK
635,10324,17,I,C,C,A,B,C,D,C,B,D,PCB
636,10513,20,II,C,C,C,B,C,F,C,C,F,CBG
637,10514,22,III,C,D,C,B,C,F,D,C,F,HKL
638,10515,25,III,C,D,C,C,D,F,D,D,F,HUMAN RESOURCE MANAGEMENT
639,10517,22,III,C,D,D,B,C,D,C,C,D,HKL
640,10521,22,III,C,D,C,B,D,F,D,C,F,HGK
641,10527,24,III,C,F,D,B,D,F,D,C,D,BUSINESS ADMINISTRATION
642,10528,23,III,C,D,C,C,B,F,F,D,F,HGL
643,10529,23,III,C,F,C,C,C,F,D,C,D,HUMAN RESOURCE MANAGEMENT
644,10533,22,III,C,D,C,B,D,D,D,C,C,PROCUREMENT AND LOGISTICS MANAGEMENT
645,10536,21,II,C,D,C,C,C,D,C,C,C,WATER SUPPLY AND SANITATION ENGINEERING
646,10541,23,III,C,F,C,C,D,F,C,C,D,FREIGHT CLEARING AND FORWARDING
647,10548,20,II,C,C,C,C,C,D,C,B,C,CBG
648,10549,20,II,C,C,C,B,C,F,C,C,C,EGM
649,10550,24,III,D,F,D,C,C,F,C,C,D,HUMAN RESOURCE MANAGEMENT
650,10551,24,III,D,D,C,C,D,F,D,C,C,PROCUREMENT AND LOGISTICS MANAGEMENT
651,10552,20,II,C,C,C,B,D,D,C,B,D,CBG
652,10554,22,III,C,D,C,C,C,F,C,C,D,PROCUREMENT AND LOGISTICS MANAGEMENT
653,10555,23,III,C,D,C,C,D,D,C,C,D,CIVIL ENGINEERING WITH COMMUNITY DEVELOPMENT
654,10556,20,II,C,F,C,B,C,D,C,C,C,EGM
655,10557,22,III,C,C,C,C,D,F,C,C,D,PROCUREMENT AND LOGISTICS MANAGEMENT
656,10566,18,II,C,C,C,A,C,D,C,B,D,PCB
657,10572,21,II,C,C,C,C,C,D,C,C,C,PCM
658,10593,23,III,D,C,C,C,C,D,D,C,F,PROCUREMENT AND LOGISTICS MANAGEMENT
659,10600,24,III,D,D,F,C,C,F,C,C,D,PROCUREMENT AND LOGISTICS MANAGEMENT
660,10603,24,III,D,F,C,C,C,F,D,C,D,COMMUNITY DEVELOPMENT
661,10605,20,II,C,C,C,B,C,D,C,C,D,HGE
662,10608,24,III,D,D,D,C,C,D,C,C,D,HUMAN RESOURCE MANAGEMENT
663,10610,20,II,C,C,C,C,C,D,C,B,D,CBG
664,10611,23,III,D,D,C,C,D,D,C,C,C,COMPUTING AND INFORMATION COMMUNICATION TECHNOLOGY
665,10616,19,II,C,F,C,C,C,C,B,B,C,PCM
666,10621,23,III,D,C,D,C,D,D,C,C,C,BUSINESS MANAGEMENT
667,10622,23,III,D,C,C,C,C,F,D,C,D,PROCUREMENT AND LOGISTICS MANAGEMENT
668,10631,21,II,C,C,C,C,C,D,C,C,D,HGK
669,10634,22,III,C,D,C,C,C,D,C,C,D,RECORDS MANAGEMENT
670,10635,25,III,D,D,C,D,D,F,C,C,F,AGRO-MECHANIZATION
671,10638,21,II,C,C,C,C,C,F,C,C,F,RURAL DEVELOPMENT PLANNING
672,10644,15,I,C,C,C,B,A,C,B,B,B,PCB
673,10646,22,III,D,D,C,C,C,D,C,C,C,BUSINESS MANAGEMENT
674,10653,22,III,C,D,D,B,D,F,C,D,C,STASHAHADA MAALUMU YA UALIMU WA MASOMO YA SAYANSI (KEMIA NA HISABATI)
675,10655,22,III,C,C,D,B,C,F,D,D,F,HGL
676,10662,19,II,C,C,C,B,B,D,C,C,D,CBG
677,10665,23,III,C,D,D,B,C,F,D,D,F,PUBLIC SECTOR ACCOUNTING AND FINANCE
678,10670,22,III,C,C,C,C,C,F,D,D,D,HUMAN RESOURCE MANAGEMENT
679,10747,18,II,B,D,C,A,C,D,D,C,C,HGE
680,10748,19,II,B,C,C,B,C,D,D,C,F,HGE
681,10757,23,III,C,D,D,C,C,F,D,C,F,CERTIFICATE IN MICROFINANCE MANAGEMENT
682,10778,23,III,B,D,D,B,D,F,D,C,F,FREIGHT CLEARING AND FORWARDING
683,10784,21,II,C,C,C,C,C,F,C,C,C,HGL
684,10788,22,III,C,C,D,C,C,F,D,C,D,COMMUNITY DEVELOPMENT
685,10801,18,II,B,C,C,B,B,F,D,C,D,HKL
686,10888,22,III,C,D,C,C,B,F,D,C,F,HGL
687,10891,22,III,C,D,C,B,C,F,D,C,F,HGK
688,10892,22,III,C,D,C,B,D,D,C,C,F,HGK
689,10898,19,II,C,D,C,B,C,D,C,C,B,EGM
690,10900,20,II,C,C,C,B,C,D,C,C,F,CBG
691,10906,22,III,C,D,C,C,C,D,C,C,D,HOSPITALITY OPERATIONS
692,10907,23,III,C,C,C,C,D,D,D,C,F,ACCOUNTANCY
693,10912,20,II,C,B,C,C,C,C,C,C,C,PGM
694,11029,20,II,C,C,C,B,C,D,C,C,C,CBG
695,11031,25,III,D,D,D,C,D,F,C,D,F,PUBLIC ADMINISTRATION
696,11033,21,II,C,D,D,B,C,F,C,C,F,HKL
697,11040,24,III,C,D,D,C,C,F,D,C,D,FREIGHT CLEARING AND FORWARDING
698,11050,25,III,C,D,D,C,D,D,D,D,C,COMMUNITY DEVELOPMENT
699,11052,20,II,C,C,C,B,C,D,C,C,F,CBG
700,11054,11,I,B,B,B,A,A,C,B,A,B,PCB
701,11056,23,III,C,D,D,B,D,F,D,C,F,SECRETARIAL STUDIES
702,11058,24,III,C,D,D,B,D,F,D,D,F,COMMUNITY DEVELOPMENT
703,11062,20,II,C,C,C,B,C,D,C,C,C,CBG
704,11063,24,III,C,C,D,B,D,F,D,D,F,COMMUNITY DEVELOPMENT
705,11185,24,III,C,F,D,B,D,F,D,C,D,SECRETARIAL STUDIES
706,11199,23,III,D,D,C,B,C,F,D,C,D,HGK
707,11215,14,I,B,C,C,A,B,C,C,A,B,PCB
708,11225,24,III,D,D,D,B,C,F,D,C,F,PROCUREMENT AND LOGISTICS MANAGEMENT
709,11226,23,III,C,D,D,B,C,F,D,C,F,PROCUREMENT AND LOGISTICS MANAGEMENT
710,11240,17,I,B,C,C,A,C,D,C,B,C,EGM
711,11244,24,III,C,D,D,C,C,F,D,C,D,COMMUNITY DEVELOPMENT
712,11251,15,I,C,C,C,B,C,C,B,A,A,PCM
713,11252,19,II,C,C,C,B,C,D,C,B,C,CBG
714,11256,24,III,C,D,D,B,C,F,F,C,F,STASHAHADA YA UALIMU ELIMU YA AWALI
715,11257,24,III,C,C,D,C,D,D,D,C,D,ENTERPRISE DEVELOPMENT
716,11259,18,II,B,C,C,C,A,F,D,B,F,HGL
717,11261,21,II,C,D,C,B,C,F,D,C,C,INSURANCE AND RISK MANAGEMENT
718,11267,15,I,C,B,C,B,C,C,B,A,B,PCB
719,11269,20,II,C,C,C,B,C,D,C,C,C,CBG
720,11271,19,II,C,C,C,B,C,D,C,B,C,CBG
721,11272,22,III,C,C,D,C,C,F,D,C,C,ACCOUNTING AND TRANSPORT FINANCE
722,11273,20,II,C,D,C,B,B,D,C,C,D,HGL
723,11282,23,III,C,D,C,C,C,D,D,C,D,BUSINESS ADMINISTRATION
724,11290,22,III,D,D,C,C,C,D,C,C,C,COMMUNITY DEVELOPMENT
725,11291,22,III,C,D,C,B,D,D,D,B,F,COMMUNITY DEVELOPMENT
726,11293,18,II,C,C,C,B,B,D,C,B,C,EGM
727,11298,24,III,D,D,C,B,C,F,F,D,F,STASHAHADA YA UALIMU ELIMU YA MSINGI
728,11300,24,III,D,D,C,B,C,F,F,D,F,STASHAHADA YA UALIMU ELIMU YA AWALI
729,11307,22,III,C,D,C,B,C,D,D,C,D,HGK
730,11308,25,III,D,D,C,C,C,F,F,D,F,HUMAN RESOURCE MANAGEMENT
731,11309,24,III,C,D,C,C,C,F,F,D,F,PROCUREMENT AND LOGISTICS MANAGEMENT
732,11312,23,III,C,D,C,B,C,F,F,D,D,HGK
733,11314,25,III,D,D,C,C,C,F,F,D,F,MARINE OPERATIONS
734,11316,21,II,C,D,C,A,C,F,F,D,D,HGL
735,11325,21,II,C,D,C,B,C,D,D,C,D,HGL
736,11343,22,III,C,C,C,B,C,F,F,D,F,HGK
737,11364,20,II,C,C,C,B,C,D,C,C,C,CBG
738,11366,23,III,C,D,C,C,C,F,F,C,F,STASHAHADA YA UALIMU ELIMU YA MSINGI
739,11372,22,III,C,C,C,B,C,F,D,D,F,HGK
740,11407,24,III,D,D,D,B,C,F,D,D,F,MARKETING AND PUBLIC RELATIONS
741,11409,17,I,C,B,B,B,B,C,C,C,C,PCM
742,11410,20,II,C,C,C,B,C,D,C,C,D,CBG
743,11417,24,III,C,C,D,C,D,F,D,C,F,HUMAN RESOURCE MANAGEMENT
744,11418,18,II,C,C,C,C,C,D,B,B,C,PCB
745,11443,22,III,C,C,C,C,C,F,D,C,F,"LIBRARY, RECORDS AND INFORMATION STUDIES"
746,11453,20,II,C,C,C,C,C,F,C,C,F,HGK
747,11563,23,III,D,D,C,B,C,F,D,C,F,PUBLIC ADMINISTRATION
748,11565,23,III,D,C,C,C,C,D,D,C,F,RECORDS MANAGEMENT
749,11567,16,I,C,B,B,A,C,D,C,B,D,CBG
750,11570,22,III,C,C,D,B,C,F,D,C,D,HKL
751,11854,13,I,C,A,B,A,B,C,C,A,C,PCM
752,11855,13,I,B,B,B,C,A,B,C,B,C,PCB
753,11856,11,I,B,B,C,A,B,C,B,A,C,PCB
754,11857,17,I,B,C,C,B,B,C,C,B,D,PCB
755,11858,14,I,B,B,C,B,B,C,C,B,D,PCB
756,11862,15,I,B,C,C,B,B,C,B,A,D,PCB
757,11864,13,I,B,C,B,B,C,B,C,A,A,PCB
758,11867,18,II,C,C,C,B,C,C,C,B,C,PCM
759,11868,15,I,B,B,C,B,C,C,C,A,D,PCM
760,11869,15,I,B,C,C,B,B,C,B,A,C,PCB
761,11870,14,I,B,C,C,C,A,B,B,B,C,PCB
762,11872,15,I,B,A,C,C,C,C,C,B,A,PCM
763,11873,19,II,C,C,C,B,C,C,C,B,C,PCM
764,11874,18,II,B,B,C,C,C,C,C,B,C,PCM
